255;255;0.14
255;270;0.136
255;285;0.132
255;300;0.129
255;315;0.125
255;330;0.122
255;345;0.118
255;360;0.115
255;375;0.112
255;390;0.108
255;405;0.105
255;420;0.102
255;435;0.099
255;450;0.096
255;465;0.094
255;480;0.091
255;495;0.088
255;510;0.086
255;525;0.083
265;150;0.173
265;165;0.167
265;180;0.162
265;195;0.158
265;210;0.153
265;225;0.149
265;240;0.145
265;255;0.142
265;270;0.138
265;285;0.135
265;300;0.131
265;315;0.127
265;330;0.123
265;345;0.12
265;360;0.117
265;375;0.113
265;390;0.11
265;405;0.107
265;420;0.104
265;435;0.101
265;450;0.098
265;465;0.095
265;480;0.092
265;495;0.089
265;510;0.087
265;525;0.084
275;150;0.174
275;165;0.169
275;180;0.164
275;195;0.159
275;210;0.155
275;225;0.151
275;240;0.146
275;255;0.142
275;270;0.138
275;285;0.135
275;300;0.131
275;315;0.127
275;330;0.123
275;345;0.12
275;360;0.117
275;375;0.113
275;390;0.11
275;405;0.107
275;420;0.104
275;435;0.101
275;450;0.098
275;465;0.095
275;480;0.092
275;495;0.089
275;510;0.087
275;525;0.084
285;150;0.176
285;165;0.17
285;180;0.165
285;195;0.161
285;210;0.156
285;225;0.152
285;240;0.148
285;255;0.144
285;270;0.139
285;285;0.136
285;300;0.132
285;315;0.128
285;330;0.124
285;345;0.121
285;360;0.117
285;375;0.114
285;390;0.111
285;405;0.107
285;420;0.104
285;435;0.101
285;450;0.098
285;465;0.096
285;480;0.093
285;495;0.09
285;510;0.087
285;525;0.085
295;150;0.177
295;165;0.172
295;180;0.167
295;195;0.162
295;210;0.158
295;225;0.153
295;240;0.149
295;255;0.145
295;270;0.141
295;285;0.137
295;300;0.133
295;315;0.129
295;330;0.125
295;345;0.122
295;360;0.118
295;375;0.115
295;390;0.111
295;405;0.108
295;420;0.105
295;435;0.102
295;450;0.099
295;465;0.096
295;480;0.093
295;495;0.091
295;510;0.088
295;525;0.085
305;150;0.179
305;165;0.173
305;180;0.168
305;195;0.164
305;210;0.159
305;225;0.154
305;240;0.15
305;255;0.146
305;270;0.142
305;285;0.138
305;300;0.134
305;315;0.13
305;330;0.126
305;345;0.122
305;360;0.119
305;375;0.115
305;390;0.112
305;405;0.109
305;420;0.106
